CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
81004,TRASPLANTE HEPATICO PARCIAL CON DONANTE VIVO - PEDIATRICO -,7-081004,INJERTO OSEO                                          
81004,TRASPLANTE HEPATICO PARCIAL CON DONANTE VIVO - PEDIATRICO -,7-087101,TRASPLANTE HEPATICO CON DONANTE VIVO PEDIATRICO   
81004,TRASPLANTE HEPATICO PARCIAL CON DONANTE VIVO - PEDIATRICO -,7-087102,TRASP.HEPATICO PEDIATRICO CON DONANTE VIVO REL.PED
81005,TRASPLANTE HEPATICO PARCIAL CON DONANTE CADAVERICO - PEDIATRICO -,,
81005,TRASPLANTE HEPATICO PARCIAL CON DONANTE CADAVERICO - PEDIATRICO -,7-087103,TRASPLANTE HEPATICO CON DONANTE CADAVERICO PEDIAT.
81006,EVALUACION PRE-TRASPLANTE HEPATICO - DONANTE,,
81007,EVALUACION PRE-TRASPLANTE HEPATICO - RECEPTOR,,
81008,POST-TRASPLANTE HEPATICO,,
81009,PRE-TRASPLANTE HEPATO-RENAL,,
81010,TRASPLANTE HEPATORENAL                            ,7-087009,TRASPLANTE HEPATORENAL                                
81011,TRASPLANTE HEPATO-RENAL PEDIATRICO  ,,
81011,TRASPLANTE HEPATO-RENAL PEDIATRICO  ,7-087105,DOBLE TRASP.HEPATICO-RENAL DONANTE CADAV.PEDIAT.
81012,POST-TRASPLANTE HEPATO-RENAL,,
81013,TRASPLANTE HEPATOBILIO-PANCREÁTICO                   ,7-087013,TRASPLANTE HEPATICO PANCREATICO                       
81014,TRASPLANTE HEPATO- INTESTINAL                   ,7-087016,TRASPLANTE HEPATICO- INTESTINAL                       
81015,TRASPLANTE HEPATO-INTESTINAL PEDIATRICO         ,7-087110,TRASPLANTE HEPATICO INTESTINAL PEDIATRICO             
08.11,TRASPLANTE DE PANCREAS,CELDA VACÍA,
81101,TRASPLANTE DE PANCREAS,7-087012,TRASPLANTE PANCREATICO                                
81101,TRASPLANTE DE PANCREAS,80727,COLECISTECTOMIA VIDEOLAPAROSCOPICA
81102,TRASPLANTE RENOPANCREATICO                        ,7-087011,TRASPLANTE RENOPANCREATICO                            
81103,PRE-TRASPLANTE RENOPANCREATICO,,
81104,POST-TRASPLANTE RENOPANCREATICO,,
81105,TRASPLANTE PANCREÁTICO INTESTINAL                  ,7-087014,TRASPLANTE PANCRATICO INTESTINAL                      
08.12,TRASPLANTE INTESTINAL ,,
81201,TRASPLANTE INTESTINAL                             ,7-087010,TRASPLANTE INTESTINAL                                 
81201,TRASPLANTE INTESTINAL                             ,7-085010,MODULO VIII COLOPROCTOLOGIA
81202,TRASPLANTE DE INTESTINO PEDIATRICO     ,7-087106,TRASPLANTE DE INTESTINO PEDIATRICO AISLADO            
81202,TRASPLANTE DE INTESTINO PEDIATRICO     ,7-087107,TRASPLANTE DE INTESTINO PEDIATRICO MULTIORGANICO
81203,TRANSPLANTECTOMÍA DE INTESTINO ,,
81203,TRANSPLANTECTOMÍA DE INTESTINO ,7-087001,TRASPLANTE HEPATICO PEDIAT.CON DONANTE CADAVERICO 
09.,09. OPERACIONES EN LOS VASOS Y GANGLIOS LINFATICOS,CELDA VACÍA,
90101,LINFADENECTOMIA CERVICAL AXILAR INGUINAL RADICAL - UNILATERAL -,1-090101,LINFADENECTOMIA CERVICAL AXILAR INGUINAL UNILATER     
90102,LINFADENECTOMIA CERVICAL AXILAR INGUINAL RADICAL - BILATERAL -,1-090102,LINFADENECTOMIA CERVICAL AXILAR INGUINAL BILATERAL    
90103,"ESCISION DE LESION DE CONDUCTOS LINFATICOS, LINFANGIOMA, HIGROMA           ",1-090103,ESCISION LESION CONDUCTOS LINFATICOS                  
90104,DRENAJE DE SENO LINFATICO                         ,1-090104,DRENAJE DE SENO LINFATICO                             
90105,LINFADENECTOMIA - BIOPSIA DE GANGLIO LINFATICO -              ,1-090105,LINFADENECTOMIA -BIOPSIA DE GANGLIO                   
90106,LINFADENOTOMIA                                    ,1-090106,LINFADENOTOMIA.                                       
90107,BIOPSIA GANGLIO LINFATICO POR PUNCION               ,1-090107,BIOPSIA GANGLIO LINFATICO P/PUNCION                   
90108,DISECCION QUIRURGICA PARA LINFADENOGRAFIA         ,1-090108,DISECCION QUIRURGICA PARA LINFADENOGRAFIA             
90109,CIRUGIA Y ESTUDIO DE GANGLIO CENTINELA                          ,7-095004,GANGLIO CENTINELA CIRUGIA                             
10.,10. OPERACIONES EN EL APARATO URINARIO Y GENITAL MASCULINO,CELDA VACÍA,
10.01,OPERACIONES EN EL RIÑON Y URETER,CELDA VACÍA,
100101,NEFRECTOMIA TOTAL - CUALQUIER VIA -,1-100101,NEFRECTOMIA TOTAL  CUALQUIERA FUERA                  
100102,NEFRECTOMIA PARCIAL                           ,1-100102,NEFRECTOMIA PARCIAL.                                  
100103,NEFROURETERECTOMIA TOTAL CON CISTECTOMIA  PARCIAL     ,1-100103,NEFROURETERECTOMIA TOTAL CISTECTOMIA                  
100104,"NEFROTOMIA, NEFROSTOMIA, NEFROPEXIA               ",1-100104,NEFROTOMIA  NEFROSTOMIA  NEFROPEXIA                 
100105,"CIRUGIA VASCULORRENAL (ANEURISMA, FISTULA, ESTENOSIS, BY-PASS)                        ",,
100106,TRASPLANTE RENAL            ,1-100106,TRANSPLANTE RENAL -CON AUTORIZACION                   
100107,"LUMBOTOMIAS EXPLORADORA, DRENAJE PERIRRENAL. BIOPSIA                 ",,
100107,"LUMBOTOMIAS EXPLORADORA, DRENAJE PERIRRENAL. BIOPSIA                 ",7-107104,TRASPLANTECTOMIA MULTIORGANICA PEDIATRICO
100107,"LUMBOTOMIAS EXPLORADORA, DRENAJE PERIRRENAL. BIOPSIA                 ",7-107105,TRASPLANTECTOMIA RENAL PEDIATRICO
100108,CIRUGIA FISTULA LUMBAR CON RIÑON FUNCIONANTE      ,1-100108,CIRUGIA FISTULA LUMBAR CON RIÑON FUNCIONANTE          
100109,BIOPSIA RENAL PERCUTANEA. PIELOGRAFIA PERCUTANEA      ,,
100110,PLASTIA DE LA UNION URETEROPIELICA - Pieloplastia. Plastia del ureter. Plastia uretero-vesical y ureterocele con tecnica anti-reflujo             ,1-100110,PLASTIA UNION URETEROPIELICA                          
100111,DERIVACIONES URETERALES A INTESTINO IN SITU - o piel -   ,1-100111,DERIVACIONES URETERALES A INTESTINO IN SITU           
100112,DERIVACIONES URETERALES A PORCION INTESTINALES AISLADAS ,1-100112,DERIVACIONES URETERALES A PORCION INTEST AISLADAS     
100113,URETECTOMIA PARCIAL.                            ,1-100113,URETERECTOMIA PARCIAL.                                
100114,PIELOTOMIA. PIELOLITOTOMIA. URETEROTOMIA. Ureterostomia. Ureterolitotomia     ,1-100114,PIELOTOMIA..PIELOLITOTOMIA. URETEROT                  
100114,PIELOTOMIA. PIELOLITOTOMIA. URETEROTOMIA. Ureterostomia. Ureterolitotomia     ,1-205126,ENDOPIELOTOMIA                                    
100115,EXTRACCION DE CALCULOS URETERALES CUERPO EXTRAÑO - Por instrumentacion - (Incluye cistocopia),1-100115,EXTRACCION DE CALCULOS URETERALES CUERPO EXTRAÑO      
100116,"CIRUGIA FISTULA URETEROINTESTINAL (con o sin reseccion intestinal, ureterovaginal, ureterocutanea)           ",1-100116,CIRUGIA FISTULA URETEROINTESTINAL                     
100117,NEFROSTOMIA PERCUTANEA CON O SIN NEFROSCOPIA      ,7-100117,NEFROSTOMIA PERCUTANEA CON O SIN NEFROSCOPIA          
,100117,7-109021,NEFROSCOPIA PERCUTANEA                            
,100117,7-109033,NEFROSTOMIA PERC. BILATERAL BAJO TAC              
,100117,7-109034,NEFROSTOMIA PERC. UNILATERAL BAJO TAC             
,100117,7-109035,NEFROSTOMIA PERC. BAJO ECO BILATERAL              
,100117,7-109036,NEFROSTOMIA PERC. BAJO ECO UNI                    
100118,"COLOCACION DE PITGAIL / DOBLE ""J"" ENDOSCOPICO     ",7-100118,"COLOCACION DE PITGAIL / DOBLE ""J"" ENDOSCOPICO         "
100119,"RETIRO DE PIGTAIL O DOBLE ""J"" ENDOSCOPICO         ",7-100119,"RETIRO DE PIGTAIL O DOBLE ""J"" ENDOSCOPICO             "
100120,RETROPERITONEOSCOPIA                              ,7-100120,RETROPERITONEOSCOPIA                                  
100121,PLASTIA UNION URETEROPIELICA LAPAROSCOPICA        ,7-100121,PLASTIA UNION URETEROPIELICA LAPAROSCOPICA            
100122,NEFROLITOTOMIA PERCUTANEA                         ,7-100122,NEFROLITOTOMIA PERCUTANEA                             
,100122,7-109020,NEFROLITOTOMIA PERCUTANEA CON ULTRASONIDO         
100123,URETEROLITOTOMIA LAPAROSCOPICA CON PINZA O DORMIA,7-100123,"URETEROLITOTOMIA LAPAROSCOPICA CON PINZA O ""DORMIA    "
100124,"URETERORRENOSCOPIA CON LITOTOMIA, LITOTRICIA Y ECTOMIA - Cualquier metodo -",7-100124,URETERORRENOSCOPIA CON LITOTOMIA LITOTRICIA Y ECTO    
,100124,7-109010,LITOTRICIA ELECTROHIDRAULICA Y/O ULTRASONICA CALC 
,100124,7-109011,LITOTRICIA PERCUTANEA TRATAMIENTO CON LITOCLAST   
100125,LITOTRICIA EXTRACORPOREA RENAL                    ,,
100126,LITOTRICIA EXTRACORPOREA URETERAL                 ,7-100126,LITOTRICIA EXTRACORPOREA URETERAL                     
100127,BIOPSIA RENAL LAPAROSCOPICA,,
100128,NEFRECTOMIA RADICAL LAPAROSCOPICA,,
100129,NEFRECTOMÍA PARCIAL LAPAROSCÓPICA,,
100129,NEFRECTOMÍA PARCIAL LAPAROSCÓPICA,7-105028,MOD. DE NEFRECTOMIA PARCIAL LAPAROSCOPICA         
100130,NEFROPEXIA LAPAROSCOPICA              ,7-109002,CIRUGIA  LAPAROSCOPICA - NEFROPEXIA-                  
100137,LITOTRICIA RENAL PERCUTANEA,,
100138,LITOTRICIA URETERAL PERCUTANEA,,
100139,LITOTRICIA RENAL ENDOSCÓPICA,7-109027,PRUEBA DE WITAKER                                     
100140,LITOTRICIA URETERAL ENDOSCÓPICA,7-107036,LITOTRICIA ENDOSCOPICA URETERAL Y VESICAL             
100141,LITOTRICIA RENAL ENDOSCOPICA CON LASER HOLMIUM,7-107002,TRANSPLANTE RENAL CON DONANTE VIVO                    
,100141,7-270201,EVALUACION PRETRASPLANTE RENAL RECEPTOR           
100142,LITOTRICIA URETERAL ENDOSCOPICA CON LASER HOLMIUM,,
100147,TRANSPLANTE RENAL POR LAPAROSCOPIA ADULTO,,
100148,TRASPLANTE RENAL PEDIATRICO       ,7-107001,TRANSPLANTE RENAL CON DONANTE CADAVERICO              
100149,TRANSPLANTE RENAL POR LAPAROSCOPIA PEDIATRICO,,
100150,PRE-TRASPLANTE RENAL CON DONANTE CADAVERICO,1-100107,LUMBOTOMIAS -EXPLORADORA  DRENAJE                    
100151,PRE-TRASPLANTE RENAL CON DONANTE VIVO RECEPTOR,7-109013,LITOTRICIA RENAL  PERCUTANEA Y URETERAL CON ULTRAS   
100152,PRE-TRASPLANTE RENAL CON DONANTE VIVO DADOR,,
100153,POST-TRASPLANTE RENAL,,
100154,TRANSPLANTECTOMÍA RENAL ADULTO - via laparoscopica -,7-100125,LITOTRICIA EXTRACORPOREA RENAL                        
100155,TRANSPLANTECTOMÍA RENAL PEDIATRICO - via laparoscopica -,1-100105,CIRUGIA VASCULORRENAL                                 
10.02,OPERACIONES EN LA VEJIGA,CELDA VACÍA,
100201,"CISTECTOMIA TOTAL CON DERIVACION URETERAL A ASA INTESTINAL DELGADA, COLON O NEOVEJIGA ",1-100201,CISTECTOMIA DERIV URET A ASA DELG/COLON/NEOVEJIGA     
100202,CISTECTOMIA TOTAL CON DERIVACION URETERAL A INTESTINO IN SITU O PIEL ,1-100202,CISTECTOMIA DERIV URETERAL INTESTINO IN SITU/PIEL     
100203,CISTECTOMIA PARCIAL DIVERTICULECTOMIA. RESECCION DE CUELLO VESICAL   ,1-100203,CISTECTOMIA PARCIAL RESEC DIVERT CUELLO VESICAL       
100204,CISTOPLASTIA CON COLON O ILIOCISTOPLASTIA              ,1-100204,CISTOPLASTIA -COLON ILIOCISTOPLASTIA                  
100205,CISTOPLASTIA PARA LA EXTROFIA VESICAL              ,1-100205,CISTOPLASTIA PARA LA EXTROFIAVESICAL                  
100206,"CIRUGIA DE LA FISTULA VESICOINTESTINAL (con o sin reseccion enterica, vesicovaginal y/o uterina)      ",1-100206,CIRUGIA DE LA FISTULA VESICOINTESTINAL                
100207,CIRUGIA FISTULA VESICOCUTANEA                     ,1-100207,CIRUGIA FISTULA VESICOCUTANEA                         
100208,CISTOTOMIA A CIELO ABIERTO. EXTRACCION DE CUERPO EXTRAÑO (litiasis - drenaje). Sutura vesical                  ,1-100208,CISTOTOMIA A CIELO ABIERTO                            
100209,CISTOTOMIA POR PUNCION CON TROCAR (puncion evacuadora vesical)               ,1-100209,CISTOTOMIA POR PUNCION CON TROCAR                    
,100209,7-109003,CISTOSTOMIA PERCUTANEA                            
100210,RESECCION ENDOSCOPICA CUELLO VESICAL. TUMORES          ,1-100210,RESECCION ENDOSCOPICA CUELLO VESICAL                  
100211,TRATAMIENTO INCONTINENCIA DE ORINA MUJER VIA VAGINAL ,1-100211,TRATAMIENTO INCONTINENCIA ORINA MUJER VIA VAGINAL     
100212,TRATAMIENTO DE INCONTINENCIA DE ORINA MUJER VIA ABDOMINAL. OPERACIÓN DE MARSHALL-MARCHETTI,1-100212,TRATAMIENT.INCONTINENCIA ORINA MUJER VIA ABDOMINAL    
100213,TRATAMIENTO INCONTINENCIA DE ORINA MUJER POR AMBAS VIAS (Abdominal y vaginal),1-100213,TRATAMIENTO INCONTINENCIA ORINA MUJER AMBAS VIAS      
100214,CISTOSCOPIA TERAPEUTICA                  ,7-109504,CISTOVIDEOENDOSCOPIA TERAPEUTICA                      
,100214,7-109503,CISTOVIDEOENDOSCOPIA DIAGNOSTICA                  
,100214,7-109502,CISTOVIDEOENDOSCOPIA CON INYECCION DE COLAGENO    
100220,LITOTRICIA DE VEJIGA PERCUTANEA,,
100220,LITOTRICIA DE VEJIGA PERCUTANEA,7-105005,LITOTRICIA DE VEJIGA PERCUTANEA                   
100221,LITOTRICIA VESICAL ENDOSCÓPICA,7-109014,LITOTRICIA VESICAL CON ULTRASONIDO                    
,100221,7-109015,LITOTRICIA VESICAL ELECTROHIDRAULICA Y ULTRASONICA
,100221,7-109016,"LITOTRICIA VESCIAL ELECTROHIDRAULICA , ULTRASONICA"
100222,LITOTRICIA VESICAL ENDOSCOPICA CON LASER HOLMIUM,,
100222,LITOTRICIA VESICAL ENDOSCOPICA CON LASER HOLMIUM,7-155038,LITOT. VESICAL O URETEROSC. TERAP. C/LASER HOLMIUM
100223,RESECCION TRANSURETRAL (R.T.U.) DE VEJIGA,,
100223,RESECCION TRANSURETRAL (R.T.U.) DE VEJIGA,7-105050,VIDEORESECCION ENDOSCOPICA DE VEJIGA              
100224,RESECCION TRANSURETRAL (R.T.U.) DE VEJIGA - bipolar -,,
100224,RESECCION TRANSURETRAL (R.T.U.) DE VEJIGA - bipolar -,7-105018,R.T.U. DE VEJIGA
100225,RESECCION TRANSURETRAL (R.T.U.) DE VEJIGA CON LASER HOLMIUM,,
100225,RESECCION TRANSURETRAL (R.T.U.) DE VEJIGA CON LASER HOLMIUM,7-105040,ELECTROFULGURACION CON LASER HOLMIUM              
10.03,OPERACIONES EN LA URETRA,CELDA VACÍA,
100301,EPISPADIAS O HIPOSPADIAS                          ,1-100301,EPISPADIAS O HIPOSPADIAS                              
100302,URETROPLASTIA POR TRAUMATISMO. CORRECCION DE FISTULA URETRORRECTAL O VAGINAL. ESTRECHEZ URETRAL                 ,1-100302,URETROPLASTIA.. POR TRAUMATISMO                       
100303,"URETROTOMIA EXTERNA DERIVATIVA, POR EXTRACCION DE CALCULO. URETROTIMIA INTERNA. Biopsia uretral                   ",1-100303,URETROTOMIA EXTERNA -DERIVATIVA                       
,100303,7-109031,URETROTOMIA INTERNA BAJO CONTROL VISUAL           
100304,"URETRORRAFIA POR DESGARRO, HERIDA                        ",1-100304,URETRORRAFIA POR DESGARRO                             
,100304,7-109028,RECONSTRUCCION DE URETRA CON COLGAJO MICROVASCULAR
100305,MEATOTOMIA.                                       ,1-100305,MEATOTOMIA.                                           
100306,ELECTROCOAGULACION O RESECCION ENDOSCOPICA DE TUMORES URETRALES ,1-100306,ELECTROCOAG/RESECCION ENDOSCOP. TUMORES URETRALES     
100307,CIRUGIA DE COLOCACIÓN DE MALLA SLING SUBURETRAL,,
100307,CIRUGIA DE COLOCACIÓN DE MALLA SLING SUBURETRAL,7-105045,MOD. COLOCACION DE SLING SUBURETRAL               
10.04,OPERACIONES EN LA PROSTATA,CELDA VACÍA,
100401,PROSTATECTOMIA RADICAL.                           ,1-100401,PROSTATECTOMIA RADICAL.                               
,100401,7-109026,PROSTATECTOMIA CON LASER ( DETECCION PRECOZ DEL CA
100402,ADENOMECTOMIA DE PROSTATA CON O SIN VASECTOMIA BILATERAL - o meatotomia -                    ,1-100402,ADENOMECTOMIA DE PROSTATA                             
,100402,7-109030,TRATAMIENTO DE LA OBSTRUCCION POR ADENOMA PROSTATI
100403,RESECCION DE FIBROSIS Y CICATRICES DEL CUELLO VESICAL           ,1-100403,RESECCION DE FIBROSIS Y CICATRICES                    
100404,RESECCION ENDOSCOPICA TRANSURETRAL DE PROSTATA - monopolar -       ,1-100404,RESECCION ENDOSCOPICA TRANSURETRAL PROSTATA           
,100404,7-109006,ELECTRORRESECCION ENDOSCOPICA DE PATOLOGIA URETRAL
100405,VESICULECTOMIA - COMO UNICA OPERACIÓN - Uni o bilateral              ,1-100405,VESICULECTOMIA -COMO UNICA OPERACION                  
100406,PROSTATOMIA. DRENAJE.                             ,1-100406,PROSTATOMIA. DRENAJE.                                 
100407,BIOPSIA PROSTATICA POR PUNCION                    ,1-100407,BIOPSIA PROSTATICA POR PUNCION                        
100408,PROSTATECTOMÍA RADICAL LAPAROSCÓPICA,,
100408,PROSTATECTOMÍA RADICAL LAPAROSCÓPICA,7-105026,MOD. DE PROSTATECTOMIA RADICAL LAPAROSC0PICA
100409,RESECCION TRANSURETRAL (R.T.U.) DE PROSTATA - bipolar -,,
100409,RESECCION TRANSURETRAL (R.T.U.) DE PROSTATA - bipolar -,7-105031,RTU BIPOLAR DE PROSTATA                           
100410,RESECCION TRANSURETRAL (R.T.U.) DE PROSTATA CON LASER HOLMIUM,,
10.05,"OPERACIONES EN TESTICULO, VAGINAL, CORDON ESPERMATICO Y ESCROTO",CELDA VACÍA,
100501,ORQUIDECTOMIA UNILATERAL COMPLETA - Con vaciamiento ganglionar intra-abdominal -     ,1-100501,ORQUIDECTOMIA UNILATERAL COMPLETA                     
100502,ORQUIDECTOMIA SUB-ALBUGINEA BILATERAL              ,1-100502,ORQUIDECTOMIA SUB-ALBUGINEA BILATERA                  
100503,ORQUIDECTOMIA UNILATERAL.                         ,1-100503,ORQUIDECTOMIA UNILATERAL.                             
100504,ORQUIDOPEXIA UNILATERAL - Cualquier tecnica. Con o sin tratamiento de hernia concomitante -,1-100504,ORQUIDOPEXIA UNILATERAL C/S TRAT. HERNIA CONCOMIT.    
100505,ORQUIDOPEXIA BILATERAL  - Cualquier tecnica. Con o sin tratamiento de hernia concomitante -                       ,1-100505,ORQUIDOPEXIA BILATERAL                                
100506,"CIRUGIA HIDROCELE, VARICOCELE, TORSION          ",1-100506,CIRUGIA HIDROCELE VARICOCELE POR TORSION              
,100506,7-109017,MICROCIRUGIA DE LA VIA ESPERMATICA                
100507,BIOPSIA DE TESTICULO.                             ,1-100507,BIOPSIA DE TESTICULO.                                 
100508,ESCROTOPLASTIA.                                   ,1-100508,ESCROTOPLASTIA.                                       
100509,DRENAJE DE ABSCESO TESTICULAR. ESCISION LESION LOCAL DE TESTICULO                    ,1-100509,DRENAJE DE ABSCESO TESTICULAR                         
100510,PUNCION DE DERRAME ESCROTAL.                      ,1-100510,PUNCION DE DERRAME ESCROTAL.                          
100512,MICROCIRUGIA DE VARICOCELE UNILATERAL          ,7-109019,MICROCIRUGIA DE VARICOCELE UNILATERAL                 
100513,MICROCIRUGIA DE VARICOCELE BILATERAL             ,7-109018,MICROCIRUGIA DE VARICOCELE BILATERAL                  
100515,ORQUIDOPEXIA LAPAROSCÓPICA,,
100516,"VARICOCELE, HIDROCELE, TORSION LAPAROSCÓPICO",,
10.06,OPERACIONES EN EL EPIDIDIMO Y EN EL CONDUCTO DEFERENTE,CELDA VACÍA,
100600,EPIDIDIMECTOMIA BILATERAL.                        ,1-100601,EPIDIDIMECTOMIA BILATERAL.                            
100602,EPIDIDIMECTOMIA UNILATERAL.                       ,1-100602,EPIDIDIMECTOMIA UNILATERAL.                           
100603,"EPIDIDIMOVASOSTOMIA,  ANASTOMOSIS DE CONDUCTO DEFERENTE              ",1-100603,EPIDIDIMOVASOSTOMIA  ANASTOMOSIS                     
100604,EPIDIDIMOTOMIA Y DRENAJE.                         ,1-100604,EPIDIDIMOTOMIA Y DRENAJE.                             
100605,ANASTOMOSIS DEL CONDUCTO DEFERENTE.               ,1-100605,ANASTOMOSIS DEL CONDUCTO DEFERENTE.                   
100606,BIOPSIA DE EPIDIDIMO.                            ,1-100606,BIOPSIA DEL EPIDIDIMO.                                
100607,"VASECTOMIA, LIGADURA CONDUCTO DEFERENTE UNI O BILATERAL            ",1-100607,VASECTOMIA LIGADURA CONDUC.DEFERENTE                 
100608,VASECTOMÍA MICROQUIRÚRGICA,,
100608,VASECTOMÍA MICROQUIRÚRGICA,7-105058,VASECTOMIA MICROQUIRURGICA                        
10.07,OPERACIONES EN EL PENE,CELDA VACÍA,
100701,AMPUTACION RADICAL O PARCIAL DE PENE - con vaciamiento ganglionar -          ,1-100701,AMPUTACION RADICAL O PARCIAL DE PENE                  
100702,AMPUTACION COMPLETA O PARCIAL DE PENE                  ,1-100702,AMPUTACION COMP/PARCIAL DEL PENE                      
100703,OPERACION PLASTICA DEL PENE ,1-100703,OPERACION PLASTICA DEL PENE POR TIEMPO OPERATORIO     
100704,ESCISION TOTAL DE LESION DE PENE.                 ,1-100704,ESCISION TOTAL DE LESION DE PENE.                     
100705,BIOPSIA DE PENE.                                 ,1-100705,BIOPSIA DEL PENE.                                     
100706,CAVERNOSTOMIA. PUNCION DE CUERPOS CAVERNOSOS                 ,1-100706,CAVERNOSTOMIA  PUNCION DE CUERPOS                    
100707,RESECCION DE ESCLEROSIS EN CUERPOS CAVERNOSOS            ,1-100707,RESECCION DE ESCLEROSIS EN CUERPOS                    
100708,SHUNT CAVERNO-ESPONJOSO O CAVERNO-SAFENO               ,1-100708,SHUNT CAVERNO-ESPONJOSO O CAVERNO                     
100709,POSTIOPLASTIA -FIMOSIS- INCLUYE FRENULOTOMIA. Escision de cuerda ventral                     ,1-100709,POSTIOPLASTIA -FIMOSIS-                               
100710,CIRCUNCISION.                                     ,1-100710,CIRCUNCISION.                                         
100711,INCISION DORSAL O LATERAL DEL PREPUCIO. FRENULOTOMIA              ,1-100711,INCISION DORSAL/LATERAL DEL PREPUCIO                  
100712,ELECTROFULGURACION DE LESIONES DE PENE,,
100715,IMPLANTE DE PROTESIS PENEANA                      ,7-109008,IMPLANTE DE PROTESIS PENEANA                          
10.10/11,OTROS,CELDA VACÍA,
101101,COLOCACION DE STENT URETRAL                       ,7-101101,COLOCACION DE STENT URETRAL                           
101102,TRATAMIENTO ENDOSCOPICO DE LESIONES DE PROSTATA Y VEJIGA POR MEDIOS FISICOS Y QUIMICOS ,7-101102,TRAT.ENDOSCOP.LESION PROSTATA/VEJIGA FISICO/QUIM.     
101103,CAMBIO DE NEFROSTOMIA,,
101103,CAMBIO DE NEFROSTOMIA,7-279006,RECAMBIO DE NEFROSTOMIA PERCUTANEA
101104,PRUEBA DE WITAKER (RELACION PRESION-FLUJO EN PELVIS RENAL)                             ,1-100109,BIOPSIA RENAL PERCUTANEA. PIELOGRAFI                  
101105,SUPRARRENALECTOMIA - via laparoscopica -,,
11.,11. OPERACIONES EN EL APARATO GENITAL FEMENINO Y OBSTETRICIA,CELDA VACÍA,
11.01,OPERACIONES EN OVARIO Y TROMPA DE FALOPIO,CELDA VACÍA,
110101,"CIRUGIA SOBRE ANEXOS (Reseccion cuneiforme de ovarios, Ooforoplastia, Extirpacion de ovario, Salpingosplastia, Salpinguectomia).          ",1-110101,RESECCION CUNEIFORME DE OVARIOS.                      
110102,LAPAROSCOPIA DIAGNOSTICA; CULDOSCOPIA O LASPAROSCOPIA CON LUZ FRIA             ,1-110102,CULDOSCOPIA O LASPAROSCOPIA CON LUZ                   
110103,"CELIOSCOPIA, CULDOSCOPIA O LAPARASCOPIA CONVENCIONAL        ",1-110103,CELIOSCOPIA CULDOSCOPIA/LAPARASCOPIA                 
110104,LIGADURA DE TROMPAS - Como unica operación -              ,1-110104,LIGADURA DE TROMPAS -C/UNI.OPERACION                  
11.02,OPERACIONES EN EL UTERO,CELDA VACÍA,
110201,HISTERECTOMIA RADICAL. COLPOANEXOHISTERECTOMIA TOTAL          ,1-110201,HISTERECTOMIA RADICAL.COLPOANEXOHIST                  
110202,EXENTERACION PELVIANA. OPERACIÓN DE BRUNSCHWIG                           ,1-110202,EXENTERACION PELVIANA                                 
110203,HISTERECTOMIA CON O SIN ANEXECTOMIA - via abdominal o vaginal - CON O SIN COLPOPERINEORRAFIA       ,1-110203,HISTERECTOMIA CON O SIN ANEXECTOMIA                  
110204,MIOMECTOMIA UTERINA - via abdominal - UNICA OPERACION                  ,1-110204,MIOMECTOMIA UTERINA ABDOMINAL                         
110205,MIOMECTOMIA VAGINAL. MIOMA-NACENS                             ,1-110205,MIOMECTOMIA VAGINAL                                   
110206,MIOMECTOMIA VAGINAL POR HISTEROTOMIA CON LIBERACION DE VEJIGA              ,1-110206,MIOMECTOMIA VAGINAL POR HISTEROTOMIA                  
110207,HISTERORRAFIA FUERA DEL PARTO.                    ,1-110207,HISTERORRAFIA FUERA DEL PARTO.                        
110208,OPERACION CORRECTORA DE MALFORMACIONES UTERINAS   ,1-110208,OPERACION CORRECTORA DE MALFORMACIONES UTERINAS       
110209,CORRECCION QUIRURGICA DE INVERSION UTERINA - via abdominal - HISTEROPEXIA          ,1-110209,CORRECCION QUIRURGICA DE INVERSION                    
110209,CORRECCION QUIRURGICA DE INVERSION UTERINA - via abdominal - HISTEROPEXIA          ,7-115012,LEEP EN INTERNACION                               
110210,RASPADO UTERINO TERAPEUTICO.                      ,7-110220,EXTRACCION DE DIU                                     
110210,RASPADO UTERINO TERAPEUTICO.                      ,7-110210,EXTRACCION DE DIU                                 
110210,RASPADO UTERINO TERAPEUTICO.                      ,1-110210,RASPADO UTERINO TERAPEUTICO.                      
110211,RASPADO UTERINO DIAGNOSTICO CON O SIN BIOPSIA DE CUELLO O ASPIRACION ENDOMETRIAL PARA CITOLOGIA EXFOLIATIVA                   ,1-110211,RASPADO UTERINO DIAGNOSTICO                           
110212,"AMPUTACION DE CUELLO. TRAQUELECTOMIA, TRAQUEOPLASTIA - fuera del parto -           ",1-110212,AMPUTACION DE CUELLO -TRAQUELECTOMIA                  
110213,CONIZACION DE CUELLO - UNICA PRACTICA -                         ,1-110213,CONIZACION DE CUELLO                                  
110214,TRAQUELORRAFIA FUERA DEL PARTO. CERCLAJE DE CUELLO UTERINO                  ,1-110214,TRAQUELORRAFIA -FUERA DEL PARTO-                      
110215,ESCISION LOCAL DE LESION DE CUELLO - electrocoagulacion o cauterizacion quimica - BIOPSIA DE CUELLO      ,1-110215,ESCISION LOCAL DE LESION DE CUELLO -                  
110216,COLOCACION DE APLICADORES PARA RADIOTERAPIA. APLICACION RADIUM EXTRA O INTRAUTERINO - por aplicación - ,1-110216,APLICACION RADIUM EXTRA/INTRAUTERINA                  
